"Group.1" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z"
1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565
2 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.683114494539735
3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824
4 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.701397703369085 -0.79823574873817 -0.726374197066246 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.597551324155678 -0.534661524341987 -0.708764043722397 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.721749187328076 -0.782885735867508 -0.7670895729653
5 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.669353687483444
6 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484
7 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.703883646896104 -0.671161922837662 -0.698949518905844
8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751
9 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.667203220760417 -0.619468634127778
10 0.27684847392517 -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.614776952226361 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.591333155194558 -0.598142328621088 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.541170169070068 -0.532135172812313 -0.625871772082993 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.692654261914966 -0.565943677806122 -0.645947720476871
